06:08:50 Пистолет поднят
06:08:50 Запрос transaction/get-status
06:08:50 Запрос transaction/get-status
06:08:51 Запрос transaction/get-status
06:08:51 Запрос transaction/get-status
06:08:52 Запрос transaction/get-status
06:08:52 Запрос transaction/get-status
06:08:53 Запрос transaction/get-status
06:08:53 Запрос transaction/get-status
06:08:54 Запрос transaction/get-status
06:08:54 Запрос transaction/get-status
06:08:55 Запрос transaction/get-status
06:08:55 Запрос transaction/get-status
06:08:56 Запрос transaction/get-status
06:08:56 Запрос transaction/get-status
06:08:57 Запрос transaction/get-status
06:08:57 Запрос transaction/get-status
06:08:58 Запрос transaction/get-status
06:08:58 Запрос transaction/get-status
06:08:59 Запрос transaction/get-status
06:08:59 Запрос transaction/get-status
06:09:00 Запрос transaction/get-status
06:09:00 Запрос transaction/get-status
06:09:01 Запрос transaction/get-status
06:09:01 Запрос transaction/get-status
06:09:02 Запрос transaction/get-status
06:09:02 Запрос transaction/get-status
06:09:03 Запрос transaction/get-status
06:09:03 Запрос transaction/get-status
06:09:04 Запрос transaction/get-status
06:09:04 Запрос transaction/get-status
06:09:05 Запрос transaction/get-status
06:09:05 Запрос transaction/get-status
06:09:06 Запрос transaction/get-status
06:09:06 Запрос transaction/get-status
06:09:07 Запрос transaction/get-status
06:09:07 Запрос transaction/get-status
06:09:08 Запрос transaction/get-status
06:09:08 Запрос transaction/get-status
06:09:09 Запрос transaction/get-status
06:09:09 Запрос transaction/get-status
06:09:10 Запрос transaction/get-status
06:09:11 Запрос transaction/get-status
06:09:11 Запрос transaction/get-status
06:09:12 Запрос transaction/get-status
06:09:12 Запрос transaction/get-status
06:09:13 Запрос transaction/get-status
06:09:13 Запрос transaction/get-status
06:09:14 Запрос transaction/get-status
06:09:14 Запрос transaction/get-status
06:09:15 Запрос transaction/get-status
06:09:15 Запрос transaction/get-status
06:09:16 Запрос transaction/get-status
06:09:16 Запрос transaction/get-status
06:09:17 Запрос transaction/get-status
06:09:17 Запрос transaction/get-status
06:09:18 Запрос transaction/get-status
06:09:18 Запрос transaction/get-status
06:09:19 Запрос transaction/get-status
06:09:19 Запрос transaction/get-status
06:09:20 Запрос transaction/get-status
06:09:20 Запрос transaction/get-status
06:09:21 Запрос transaction/get-status
06:09:21 Запрос transaction/get-status
06:09:22 Запрос transaction/get-status
06:09:22 Запрос transaction/get-status
06:09:23 Запрос transaction/get-status
06:09:23 Запрос transaction/get-status
06:09:24 Запрос transaction/get-status
06:09:24 Запрос transaction/get-status
06:09:25 Запрос transaction/get-status
06:09:25 Запрос transaction/get-status
06:09:26 Запрос transaction/get-status
06:09:26 Запрос transaction/get-status
06:09:27 Запрос transaction/get-status
06:09:27 Запрос transaction/get-status
06:09:28 Запрос transaction/get-status
06:09:28 Запрос transaction/get-status
06:09:29 Запрос transaction/get-status
06:09:29 Запрос transaction/get-status
06:09:30 Запрос transaction/get-status
06:09:30 Запрос transaction/get-status
06:09:31 Запрос transaction/get-status
06:09:31 Запрос transaction/get-status
06:09:32 Запрос transaction/get-status
06:09:32 Запрос transaction/get-status
06:09:33 Запрос transaction/get-status
06:09:33 Запрос transaction/get-status
06:09:34 Запрос transaction/get-status
06:09:34 Запрос transaction/get-status
06:09:35 Запрос transaction/get-status
06:09:35 Запрос transaction/get-status
06:09:36 Запрос transaction/get-status
06:09:36 Запрос transaction/get-status
06:09:37 Запрос transaction/get-status
06:09:37 Запрос transaction/get-status
06:09:38 Запрос transaction/get-status
06:09:38 Запрос transaction/get-status
06:09:39 Запрос transaction/get-status
06:09:40 Запрос transaction/get-status
06:09:40 Запрос transaction/get-status
06:09:40 Запрос transaction/get-status
06:09:41 Запрос transaction/get-status
06:09:41 Запрос transaction/get-status
06:09:42 Запрос transaction/get-status
06:09:42 Запрос transaction/get-status
06:09:43 Запрос transaction/get-status
06:09:43 Запрос transaction/get-status
06:09:44 Запрос transaction/get-status
06:09:44 Запрос transaction/get-status
06:09:45 Запрос transaction/get-status
06:09:46 Запрос transaction/get-status
06:09:46 Запрос transaction/get-status
06:09:47 Запрос transaction/get-status
06:09:47 Запрос transaction/get-status
06:09:48 Запрос transaction/get-status
06:09:48 Запрос transaction/get-status
06:09:49 Запрос transaction/get-status
06:09:49 Запрос transaction/get-status
06:09:50 Запрос transaction/get-status
06:09:50 Запрос transaction/get-status
06:09:51 Запрос transaction/get-status
06:09:51 Запрос transaction/get-status
06:09:52 Запрос transaction/get-status
06:09:52 Запрос transaction/get-status
06:09:53 Запрос transaction/get-status
06:09:53 Запрос transaction/get-status
06:09:54 Запрос transaction/get-status
06:09:54 Запрос transaction/get-status
