06:25:25 Пистолет поднят
06:25:25 Запрос transaction/get-status
06:25:25 Ответ transaction/get-status успешно
06:25:25 Установка цены: 35,5
06:25:25 Задана доза: 28,1690006256104
06:25:25 Санкционирование
06:25:27 Заправка: 0
06:25:28 Заправка: 0
06:25:28 Заправка: 0
06:25:28 Заправка: 0
06:25:29 Заправка: 0
06:25:30 Заправка: 0
06:25:30 Заправка: 0,03
06:25:30 Заправка: 0,06
06:25:31 Заправка: 0,11
06:25:32 Заправка: 0,26
06:25:32 Заправка: 0,8
06:25:33 Заправка: 1,33
06:25:33 Заправка: 1,86
06:25:34 Заправка: 2,37
06:25:34 Заправка: 2,91
06:25:35 Заправка: 3,44
06:25:35 Заправка: 3,97
06:25:36 Заправка: 4,49
06:25:36 Заправка: 5,03
06:25:37 Заправка: 5,55
06:25:37 Заправка: 6,08
06:25:38 Заправка: 6,61
06:25:38 Заправка: 7,14
06:25:39 Заправка: 7,66
06:25:39 Заправка: 8,19
06:25:40 Заправка: 8,72
06:25:40 Заправка: 9,25
06:25:41 Заправка: 9,77
06:25:41 Заправка: 10,31
06:25:42 Заправка: 10,83
06:25:42 Заправка: 11,36
06:25:43 Заправка: 11,89
06:25:43 Заправка: 12,42
06:25:44 Заправка: 12,94
06:25:44 Заправка: 13,49
06:25:45 Заправка: 14
06:25:45 Заправка: 14,53
06:25:46 Заправка: 15,05
06:25:46 Заправка: 15,6
06:25:47 Заправка: 16,13
06:25:47 Заправка: 16,65
06:25:48 Заправка: 17,18
06:25:48 Заправка: 17,71
06:25:49 Заправка: 18,24
06:25:49 Заправка: 18,75
06:25:50 Заправка: 19,32
06:25:50 Заправка: 19,82
06:25:51 Заправка: 20,35
06:25:51 Заправка: 20,88
06:25:52 Заправка: 21,48
06:25:52 Заправка: 21,93
06:25:53 Заправка: 22,48
06:25:53 Заправка: 23,03
06:25:54 Заправка: 23,56
06:25:54 Заправка: 24,09
06:25:55 Заправка: 24,62
06:25:55 Заправка: 25,15
06:25:56 Заправка: 25,67
06:25:56 Заправка: 26,2
06:25:57 Заправка: 26,73
06:25:57 Заправка: 27,26
06:25:58 Заправка: 27,78
06:25:58 Заправка: 27,91
06:25:59 Заправка: 27,95
06:25:59 Заправка: 27,99
06:26:00 Заправка: 28,01
06:26:00 Заправка: 28,04
06:26:01 Заправка: 28,05
06:26:02 Заправка: 28,06
06:26:02 Заправка: 28,07
06:26:03 Заправка: 28,08
06:26:03 Заправка: 28,09
06:26:04 Заправка: 28,1
06:26:04 Заправка: 28,11
06:26:05 Заправка: 28,13
06:26:05 Заправка: 28,14
06:26:06 Заправка: 28,15
06:26:06 Завершение транзакции ТРК
06:26:06 Запрос transaction/end-transaction
