10:31:33 Пистолет поднят
10:31:34 Запрос transaction/get-status
10:31:34 Запрос transaction/get-status
10:31:35 Запрос transaction/get-status
10:31:35 Запрос transaction/get-status
10:31:36 Запрос transaction/get-status
10:31:36 Запрос transaction/get-status
10:31:37 Запрос transaction/get-status
10:31:37 Запрос transaction/get-status
10:31:38 Запрос transaction/get-status
10:31:38 Запрос transaction/get-status
10:31:39 Запрос transaction/get-status
10:31:39 Запрос transaction/get-status
10:31:40 Запрос transaction/get-status
10:31:40 Запрос transaction/get-status
10:31:41 Запрос transaction/get-status
10:31:41 Запрос transaction/get-status
10:31:42 Запрос transaction/get-status
10:31:42 Запрос transaction/get-status
10:31:43 Запрос transaction/get-status
10:31:44 Запрос transaction/get-status
10:31:44 Запрос transaction/get-status
10:31:45 Запрос transaction/get-status
10:31:45 Запрос transaction/get-status
10:31:46 Запрос transaction/get-status
10:31:46 Запрос transaction/get-status
10:31:47 Запрос transaction/get-status
10:31:47 Запрос transaction/get-status
10:31:48 Запрос transaction/get-status
10:31:48 Запрос transaction/get-status
10:31:49 Запрос transaction/get-status
10:31:49 Запрос transaction/get-status
10:31:50 Запрос transaction/get-status
10:31:50 Запрос transaction/get-status
10:31:51 Запрос transaction/get-status
10:31:51 Запрос transaction/get-status
10:31:52 Запрос transaction/get-status
10:31:52 Запрос transaction/get-status
10:31:53 Запрос transaction/get-status
10:31:53 Запрос transaction/get-status
10:31:54 Запрос transaction/get-status
10:31:54 Запрос transaction/get-status
10:31:55 Запрос transaction/get-status
10:31:55 Запрос transaction/get-status
10:31:56 Запрос transaction/get-status
10:31:56 Запрос transaction/get-status
10:31:57 Запрос transaction/get-status
10:31:57 Запрос transaction/get-status
10:31:58 Запрос transaction/get-status
10:31:58 Запрос transaction/get-status
10:31:59 Запрос transaction/get-status
10:31:59 Запрос transaction/get-status
10:32:00 Запрос transaction/get-status
10:32:00 Запрос transaction/get-status
10:32:01 Запрос transaction/get-status
10:32:01 Запрос transaction/get-status
10:32:02 Запрос transaction/get-status
10:32:02 Запрос transaction/get-status
10:32:03 Запрос transaction/get-status
10:32:03 Запрос transaction/get-status
10:32:04 Запрос transaction/get-status
10:32:04 Запрос transaction/get-status
10:32:05 Запрос transaction/get-status
10:32:06 Запрос transaction/get-status
10:32:06 Запрос transaction/get-status
10:32:07 Запрос transaction/get-status
10:32:07 Запрос transaction/get-status
10:32:08 Запрос transaction/get-status
10:32:08 Запрос transaction/get-status
10:32:09 Запрос transaction/get-status
10:32:09 Запрос transaction/get-status
10:32:10 Запрос transaction/get-status
10:32:10 Запрос transaction/get-status
10:32:11 Запрос transaction/get-status
10:32:11 Запрос transaction/get-status
10:32:12 Запрос transaction/get-status
10:32:12 Запрос transaction/get-status
10:32:13 Запрос transaction/get-status
10:32:13 Запрос transaction/get-status
10:32:14 Запрос transaction/get-status
10:32:14 Запрос transaction/get-status
10:32:15 Запрос transaction/get-status
10:32:16 Запрос transaction/get-status
10:32:16 Ответ transaction/get-status успешно
10:32:16 Установка цены: 35,5
10:32:16 Задана доза: 140,845001220703
10:32:16 Санкционирование
10:32:17 Заправка: 0
10:32:18 Заправка: 0
10:32:19 Заправка: 0
10:32:19 Заправка: 0
10:32:20 Заправка: 0
10:32:20 Заправка: 0
10:32:21 Заправка: 0,02
10:32:21 Заправка: 0,06
10:32:22 Заправка: 0,11
10:32:22 Заправка: 0,29
10:32:23 Заправка: 0,82
10:32:23 Заправка: 1,35
10:32:24 Заправка: 1,88
10:32:24 Заправка: 2,41
10:32:25 Заправка: 2,94
10:32:25 Заправка: 3,48
10:32:26 Заправка: 3,99
10:32:26 Заправка: 4,52
10:32:27 Заправка: 5,05
10:32:27 Заправка: 5,58
10:32:28 Заправка: 6,09
10:32:28 Заправка: 6,64
10:32:29 Заправка: 7,15
10:32:29 Заправка: 7,69
10:32:30 Заправка: 8,83
